Title,Author,Genre,Year Read,Read for school?,Read > 1 time
Simulacra and Simulation,Jean Baudrillard,Philosophy,2025,,
The House of Morgan,Ron Chernow,Finance,2025,,
Echo in Ramadi,Scott A. Huesing,American History / Politics,2025,,
The End of History and the Last Man,Francis Fukuyama,Politics / Philosophy,2025,,
Portal,John King,American History / Culture,2025,,
Narrative Economics,Robert Shiller,Economics,2025,,
The Thirty Years War,Peter H. Wilson,World History,2025,,
A New World Begins,Jeremy Popkin,World History,2025,,
America Against America,Wang Huning,Politics,2025,,
"Hits, Flops, and Other Illusions",Ed Zwick,Culture / Memoir,2025,,
Stella Maris,Cormac McCarthy,Fiction,2025,,
The Political Thought of Xi Jinping,Steve Tsang and Olivia Cheung,Politics,2025,,
Season of the Witch,David Talbot,Politics / History,2024,,
The Power Broker,Robert Caro,Politics,2024,,
Reality and Belief in Military Affairs,Herbert Goldhammer,Military History / Politics,2024,,
Arsenals of Folly,Richard Rhodes,World History / Politics,2024,,
Beyond Uncertainty,David C. Cassidy,History of Science / Biography,2024,,
The Pleasure of Finding Things Out,Richard P. Feynman,History of Science,2024,,
Quantum Chemistry,Donald McQuarrie,Textbook,2024,,
The Pope of Physics,Gino Segre and Bettina Hoerlin,History of Science / Biography,2024,,
When We Cease to Understand the World,Benjamin Labatut,History of Science / Fiction,2024,,
Too Big for a Single Mind,Tobias Hurter,History of Science,2024,,
The Making of the Atomic Bomb,Richard Rhodes,History of Science,2024,,Yes
Atomic Accidents,James Mahaffey,History of Science,2024,,
Atomic Awakening,James Mahaffey,History of Science,2024,,
Israel,Daniel Gordis,World History / Politics,2024,,
The Man From the Future,Ananyo Bhattacharya,History of Science / Biography,2024,,
The Dealers of Lightning,Michael Hiltzik,History of Science,2024,,
The Great Air Race,John Lancaster,History of Science,2024,,
Nanosystems,Eric Drexler,Textbook,2024,,
The Wright Brothers,David McCullough,American History / History of Science / Tech,2024,,
747: Creating the World's First Jumbo jet and Other Adventures From a Life in Aviation,Joe Sutter,History of Science / Tech,2024,,
The Toyota Way,Jeffrey Liker,Business,2024,,
Skunk Works,Ben Rich,Tech,2024,,
